label,tweet,clean_text
anger,"Soal jalan  Jatibaru,polisi tidak bisa GERTAK gubernur .Emangny polisi tidak ikut pmbhasan? jangan berpolitik. Pengaturan wilayah,hak gubernur. Persoalan Tn Abang soal turun temurun.Pelik.Perlu kesabaran. [USERNAME] [USERNAME] [URL]",soal jalan jatibaru polisi tidak gertak gubernur emangny polisi tidak ikut pmbhasan jangan berpolitik pengaturan wilayah hak gubernur persoalan tn abang soal turun temurun pelik perlu kesabaran username username url
anger,"Sesama cewek  lho (kayaknya), harusnya bisa lebih rasain lah yang harus sibuk jaga diri, rasain sakitnya haid, dan paniknya pulang malam  sendirian. Gimana orang asing? Wajarlah banyak korban yang takut curhat, bukan dibela malah dihujat.",sesama cewek kayaknya harusnya lebih rasain sibuk jaga diri rasain sakitnya haid paniknya pulang malam sendirian gimana orang asing wajarlah banyak korban takut curhat bukan dibela malah dihujat
joy,"Kepingin gudeg mbarek Bu hj. Amad Foto dari google, sengaja, biar teman-teman juga membayangkannya. Berbagi itu indah.",kepingin gudeg mbarek bu hj amad foto google sengaja biar teman teman membayangkannya berbagi indah
anger,"jalan  Jatibaru,bagian dari wilayah Tn Abang.Pengaturan wilayah tgg jawab  dan wwnang gub.Tng Abng soal rumit,sejak gub2 , trdahulu.Skrg sedng dibenahi,agr bermnfaat semua pihak.Mohon yang  punya otak,berpikirlah dengan  wajar,kecuali otaknya butek.Ya kamu. [URL]",jalan jatibaru bagian wilayah tn abang pengaturan wilayah tgg jawab wwnang gub tng abng soal rumit sejak gub trdahulu skrg sedng dibenahi agr bermnfaat semua pihak mohon punya otak berpikirlah wajar otaknya butek kamu url
joy,"Sharing pengalaman aja, kemarin jam 18.00 batalin tiket di stasiun pasar senen, lancar, antrian tidak terlalu rame,15 menitan dan beress semua! Mungkin bisa dicoba twips, di jam-jam segitu cc [USERNAME]",sharing pengalaman kemarin jam batalin tiket stasiun pasar senen lancar antrian tidak terlalu rame menitan beress semua mungkin dicoba twips jam jam segitu cc username
anger,"Dari sekian banyak thread yang saya baca, thread ini paling aneh sih dalam penulisan. Sumpah aneh bgt, mau ngatain ""lebay"" saja  segala bikin thread hadeh. saya juga tidak jago nulis, tapi tulisan saya tidak seberantakan thread mbaknya.",sekian banyak thread baca thread paling aneh penulisan sumpah aneh mau ngatain lebay segala bikin thread hadeh tidak jago nulis tulisan tidak seberantakan thread mbaknya
joy,Sharing sama teman  tuh memang guna bgt. Disaat kamu merasa  masalah kamu berat sangat  ternyata teman  kita sendiri punya masalah lebih berat dari  kita. Malah masalah kita tidak ada apa2nya dibanding masalah dia.,sharing sama teman tuh memang disaat kamu merasa masalah kamu berat sangat ternyata teman sendiri punya masalah lebih berat malah masalah tidak apa nya dibanding masalah
sad,"Orang lain kalau pakai  ponco itu buat jas hujan, nah dia pakai  buat kasur. Ya tadi gara2 saking tidak punya apa2. Mamak bilang, kami tuh di awal pernikan tidak ada ngalamin bulan madu mirip  skrg2. orang tidur nya saja  pakai  ponco. Gimane mau bulan madu.",orang kalau pakai ponco buat jas hujan nah pakai buat kasur tadi gara saking tidak punya apa mamak bilang tuh awal pernikan tidak ngalamin bulan madu mirip skrg orang tidur nya pakai ponco gimane mau bulan madu
anger,"Contoh mereka yang  gemar menyudutkan, teriak paling toleran tapi gemar menuduh, gemar men-judge seseorang berdasarkan versi mereka. Cukup tahu saja.",contoh gemar menyudutkan teriak paling toleran gemar menuduh gemar men judge seseorang berdasarkan versi cukup tahu
sad,Pulang sudah H-4 lebaran dilema sekali. Seperti tidak bisa melakukan apa2 dirumah sebelum lebaran. Buka puasa bareng hanya 3 hari sama keluarga begitu juga sahur.,pulang h lebaran dilema sekali tidak melakukan apa dirumah lebaran buka puasa bareng hari sama keluarga sahur
