label,tweet
anger,"Soal jalan  Jatibaru,polisi tidak bisa GERTAK gubernur .Emangny polisi tidak ikut pmbhasan? jangan berpolitik. Pengaturan wilayah,hak gubernur. Persoalan Tn Abang soal turun temurun.Pelik.Perlu kesabaran. [USERNAME] [USERNAME] [URL]"
anger,"Sesama cewek  lho (kayaknya), harusnya bisa lebih rasain lah yang harus sibuk jaga diri, rasain sakitnya haid, dan paniknya pulang malam  sendirian. Gimana orang asing? Wajarlah banyak korban yang takut curhat, bukan dibela malah dihujat."
joy,"Kepingin gudeg mbarek Bu hj. Amad Foto dari google, sengaja, biar teman-teman juga membayangkannya. Berbagi itu indah."
anger,"jalan  Jatibaru,bagian dari wilayah Tn Abang.Pengaturan wilayah tgg jawab  dan wwnang gub.Tng Abng soal rumit,sejak gub2 , trdahulu.Skrg sedng dibenahi,agr bermnfaat semua pihak.Mohon yang  punya otak,berpikirlah dengan  wajar,kecuali otaknya butek.Ya kamu. [URL]"
joy,"Sharing pengalaman aja, kemarin jam 18.00 batalin tiket di stasiun pasar senen, lancar, antrian tidak terlalu rame,15 menitan dan beress semua! Mungkin bisa dicoba twips, di jam-jam segitu cc [USERNAME]"
anger,"Dari sekian banyak thread yang saya baca, thread ini paling aneh sih dalam penulisan. Sumpah aneh bgt, mau ngatain ""lebay"" saja  segala bikin thread hadeh. saya juga tidak jago nulis, tapi tulisan saya tidak seberantakan thread mbaknya."
joy,Sharing sama teman  tuh memang guna bgt. Disaat kamu merasa  masalah kamu berat sangat  ternyata teman  kita sendiri punya masalah lebih berat dari  kita. Malah masalah kita tidak ada apa2nya dibanding masalah dia.
sad,"Orang lain kalau pakai  ponco itu buat jas hujan, nah dia pakai  buat kasur. Ya tadi gara2 saking tidak punya apa2. Mamak bilang, kami tuh di awal pernikan tidak ada ngalamin bulan madu mirip  skrg2. orang tidur nya saja  pakai  ponco. Gimane mau bulan madu."
anger,"Contoh mereka yang  gemar menyudutkan, teriak paling toleran tapi gemar menuduh, gemar men-judge seseorang berdasarkan versi mereka. Cukup tahu saja."
sad,Pulang sudah H-4 lebaran dilema sekali. Seperti tidak bisa melakukan apa2 dirumah sebelum lebaran. Buka puasa bareng hanya 3 hari sama keluarga begitu juga sahur.
anger,"Betul Min rakyat Indonesia sekarang harapan nya tinggal sama TNI saja, kalau yang lain lihat saja, sudah jelas penyerangan ke kantor media, katanya tidak ada unsur pidananya, sudah jelas menghina presiden Indonesia yang sah, cuma lucu lucu an saja, #TNI [URL]"
anger,Kalaupun fansite ngejual hasil jepretan mereka toh uang nya lari ke idol juga. Beliin mereka hadiah dan sebagainya kan. Kpopers baru ya? Fansite sudah ada dari  jaman kamera belum  sebening skrg!
joy,"sangat bersyukur bisa mendoakan kakeknya, Bung Karno, bersama anak-anak yatim piatu. #BulanBungKarno #JuniBulanBungKarno #PenyambungLidahRakyatIndonesia #nomor2untukjatim #jatimpilihgusipulputi #KabehSedulurKabehMakmur [USERNAME] h"
sad,Sulit menerima kenyataan memang bahwa ada sebagian yang menganggap ketika kita berinteraksi dengan satu orang  dari satu golongan tertentu kita langsung mengatakan golongan tertentu sesaat tanpa kita mempelajari secara utuh dan mengklaim diri kita paling benar.
anger,samanye sudah  maling semua tidak si jancok tidak si anjing tidak si siluman monyet hahahahaha SATU HATI SAMA SAMA MALING !!!!
anger,"Ku juga ingin ngamuk bacain komen2 netizen yang  mahabenar. Ya Lord. tidak abis pikir. Komen2 macem gini yang  bikin kasus pelecehan seksual akan tenggelam begitu saja. Tidak ada hukuman untuk pelaku. Lebih sedihnya, rerata yang  komen jahat adalah perempuan. Mbaq2, kesehatanmu loh! [URL]"
love,"Setiap kesempatan yang  pernah hadir tuk dapat membuatmu selalu merasa aman dan nyaman, kini jadi suatu kehormatan yang  pernah didapat"
anger,Sedap kali kamu ya tidur  dikasur ku. saya tidur kamu ikut tidur. Mau jadi apa kau. *Bacanya pakai  logat mamak dahlia di Keluarga Badak*
joy,"H-9. Mau ke bank ramai  sangat  ampe antrian tempat duduknya ada diluar. Toko emas meluber ampe tidak kelihatan  mbak2nya yang  jualan. Ke swalayan antrian kasir naudzubilah panjang bener. Pada bahagia semua kayaknya. Semoga oh semoga RS sepi, pasien pada sembuh dan pulang untuk  berbahagia"
anger,"Benar2 hancur negara ini dikelola amatiran, tapi kenpak [USERNAME] tidak mengindahkan statementnya sendiri? Negara miskin koordinasi, jangan asal gagah2an .. setalah salah dianulir mana marwahmu wahai mr. [USERNAME] presiden? [URL]"
anger,"Budayakan mencari dan membaca sebelum tanya  ya. sudah dijelaskan berkali2 kok. Selama tidak diatur/gaada ketentuan khusus, pakai saja "
